Price,Close,High,Low,Open,Volume
Ticker,SAP,SAP,SAP,SAP,SAP
Date,,,,,
1995-12-22,9.023696899414062,9.023696899414062,9.023696899414062,9.023696899414062,11200
1995-12-26,9.112163543701172,9.112163543701172,9.112163543701172,9.112163543701172,4800
1995-12-27,9.04581356048584,9.04581356048584,9.04581356048584,9.04581356048584,1200
1995-12-28,9.04581356048584,9.04581356048584,9.04581356048584,9.04581356048584,2400
1995-12-29,9.04581356048584,9.04581356048584,9.04581356048584,9.04581356048584,2800
1996-01-02,9.399682998657227,9.399682998657227,9.399682998657227,9.399682998657227,9600
1996-01-03,9.642970085144043,9.642970085144043,9.642970085144043,9.642970085144043,6400
1996-01-04,9.466033935546875,9.466033935546875,9.466033935546875,9.466033935546875,43600
1996-01-05,9.37756633758545,9.37756633758545,9.37756633758545,9.37756633758545,1600
1996-01-08,9.200629234313965,9.200629234313965,9.200629234313965,9.200629234313965,1200
1996-01-09,9.687202453613281,9.687202453613281,9.687202453613281,9.687202453613281,8400
1996-01-10,9.112163543701172,9.112163543701172,9.112163543701172,9.112163543701172,14400
1996-01-11,9.112163543701172,9.289098758141972,8.935228329260372,9.112163543701172,193200
1996-01-12,9.112163543701172,9.112163543701172,9.112163543701172,9.112163543701172,31200
1996-01-15,9.156397819519043,9.156397819519043,9.156397819519043,9.156397819519043,33600
1996-01-16,8.979463577270508,8.979463577270508,8.979463577270508,8.979463577270508,9600
1996-01-17,8.647709846496582,8.647709846496582,8.647709846496582,8.647709846496582,10800
1996-01-18,8.66982650756836,8.66982650756836,8.66982650756836,8.66982650756836,2400
1996-01-19,9.04581356048584,9.04581356048584,9.04581356048584,9.04581356048584,64000
1996-01-22,9.156397819519043,9.156397819519043,9.156397819519043,9.156397819519043,3600
1996-01-23,9.023696899414062,9.023696899414062,9.023696899414062,9.023696899414062,50400
1996-01-24,9.28909969329834,9.28909969329834,9.28909969329834,9.28909969329834,6000
1996-01-25,9.244866371154785,9.244866371154785,9.244866371154785,9.244866371154785,21600
1996-01-26,9.244866371154785,9.244866371154785,9.244866371154785,9.244866371154785,0
1996-01-29,9.023696899414062,9.023696899414062,9.023696899414062,9.023696899414062,8800
1996-01-30,9.112163543701172,9.112163543701172,9.112163543701172,9.112163543701172,97200
1996-01-31,8.758295059204102,8.758295059204102,8.758295059204102,8.758295059204102,25600
1996-02-01,8.625592231750488,8.625592231750488,8.625592231750488,8.625592231750488,33600
1996-02-02,8.80252742767334,8.80252742767334,8.80252742767334,8.80252742767334,6400
1996-02-05,8.758295059204102,8.758295059204102,8.758295059204102,8.758295059204102,32400
1996-02-06,8.691941261291504,8.691941261291504,8.691941261291504,8.691941261291504,62800
1996-02-07,8.691941261291504,8.691941261291504,8.691941261291504,8.691941261291504,0
1996-02-08,8.691941261291504,8.691941261291504,8.691941261291504,8.691941261291504,0
1996-02-09,9.466033935546875,9.466033935546875,9.289098721798334,9.289098721798334,10800
1996-02-12,9.200629234313965,9.200629234313965,9.200629234313965,9.200629234313965,13200
