Date,Actual,SES_Pred,Holt_Pred,HW_no_season_Pred,HW_season_mul_Pred
2021-08-25,145.40541076660156,133.61747265269,158.64132246247436,158.63200068405797,135.5554824128378
2021-08-26,144.60174560546875,133.61747265269,158.81617955725454,158.80679264637905,131.0944658201753
2021-08-27,145.6406707763672,133.61747265269,158.9910366520347,158.98158460870013,133.7234845511217
2021-08-30,150.07064819335938,133.61747265269,159.16589374681487,159.1563765710212,131.2436677455398
2021-08-31,148.80633544921875,133.61747265269,159.34075084159502,159.3311685333423,130.49796331819044
2021-09-01,149.47279357910156,133.61747265269,159.5156079363752,159.50596049566337,133.3055082598072
2021-09-02,150.59007263183594,133.61747265269,159.69046503115538,159.68075245798443,132.17993505660402
2021-09-03,151.22711181640625,133.61747265269,159.86532212593553,159.8555444203055,131.42077759315833
2021-09-06,151.22711181640625,133.61747265269,160.04017922071571,160.0303363826266,131.26119590309904
2021-09-07,153.5695343017578,133.61747265269,160.21503631549587,160.20512834494767,128.66431280383753
2021-09-08,152.02101135253906,133.61747265269,160.38989341027604,160.37992030726875,131.82379242386276
2021-09-09,151.00173950195312,133.61747265269,160.56475050505622,160.5547122695898,134.02020292376062
2021-09-10,146.00328063964844,133.61747265269,160.73960759983638,160.72950423191088,130.88334106558239
2021-09-13,146.5717315673828,133.61747265269,160.91446469461656,160.90429619423196,131.71121871164593
2021-09-14,145.1702117919922,133.61747265269,161.0893217893967,161.07908815655304,135.534087983785
2021-09-15,146.06210327148438,133.61747265269,161.26417888417689,161.25388011887412,138.2337919670614
2021-09-16,145.8268585205078,133.61747265269,161.43903597895707,161.4286720811952,138.18047925427254
2021-09-17,143.15122985839844,133.61747265269,161.61389307373722,161.60346404351628,140.40057925226532
2021-09-20,140.0933837890625,133.61747265269,161.7887501685174,161.77825600583736,140.64183441310206
2021-09-21,140.57357788085938,133.61747265269,161.96360726329755,161.95304796815842,139.3538210742054
2021-09-22,142.94544982910156,133.61747265269,162.13846435807773,162.1278399304795,141.75154891040242
2021-09-23,143.9058837890625,133.61747265269,162.3133214528579,162.30263189280058,141.17703970915207
2021-09-24,143.99411010742188,133.61747265269,162.48817854763806,162.47742385512166,142.78859216442345
2021-09-27,142.47500610351562,133.61747265269,162.66303564241824,162.65221581744274,141.22953449992565
2021-09-28,139.0838623046875,133.61747265269,162.8378927371984,162.8270077797638,143.51840768977047
2021-09-29,139.98556518554688,133.61747265269,163.01274983197857,163.00179974208487,148.48112368094917
2021-09-30,138.68209838867188,133.61747265269,163.18760692675875,163.17659170440595,147.7264238095561
2021-10-01,139.80917358398438,133.61747265269,163.3624640215389,163.35138366672703,147.96028539935685
2021-10-04,136.36904907226562,133.61747265269,163.53732111631908,163.5261756290481,147.645353236217
2021-10-05,138.29981994628906,133.61747265269,163.71217821109923,163.7009675913692,144.9848930875328
2021-10-06,139.17208862304688,133.61747265269,163.8870353058794,163.87575955369027,143.9238844773226
2021-10-07,140.43641662597656,133.61747265269,164.0618924006596,164.05055151601135,145.32882692971202
2021-10-08,140.05413818359375,133.61747265269,164.23674949543974,164.2253434783324,145.82021120874663
2021-10-11,139.96595764160156,133.61747265269,164.41160659021992,164.4001354406535,144.20294170317473
2021-10-12,138.69186401367188,133.61747265269,164.58646368500007,164.57492740297457,143.19065537619477
2021-10-13,138.10379028320312,133.61747265269,164.76132077978025,164.74971936529565,143.59898596771734
2021-10-14,140.89703369140625,133.61747265269,164.93617787456043,164.92451132761673,143.83642723952346
2021-10-15,141.95553588867188,133.61747265269,165.11103496934058,165.0993032899378,141.5234583160075
2021-10-18,143.63150024414062,133.61747265269,165.28589206412076,165.27409525225886,142.9276349298916
2021-10-19,145.79745483398438,133.61747265269,165.4607491589009,165.44888721457994,139.85346353142367
2021-10-20,146.28750610351562,133.61747265269,165.6356062536811,165.62367917690102,138.91492131006603
2021-10-21,146.50311279296875,133.61747265269,165.81046334846127,165.7984711392221,140.88542997491817
2021-10-22,145.72886657714844,133.61747265269,165.98532044324142,165.97326310154318,143.0658596589156
2021-10-25,145.67987060546875,133.61747265269,166.16017753802157,166.14805506386426,145.59491627652073
2021-10-26,146.34632873535156,133.61747265269,166.33503463280175,166.32284702618534,145.7725402505011
2021-10-27,145.8856964111328,133.61747265269,166.50989172758193,166.4976389885064,143.47398811623478
2021-10-28,149.53160095214844,133.61747265269,166.6847488223621,166.67243095082748,143.93602481284208
2021-10-29,146.81675720214844,133.61747265269,166.85960591714226,166.84722291314856,146.03352039379388
2021-11-01,145.99349975585938,133.61747265269,167.0344630119224,167.02201487546964,144.85472019280525
2021-11-02,147.03237915039062,133.61747265269,167.2093201067026,167.19680683779072,145.07048053056027
2021-11-03,148.47312927246094,133.61747265269,167.38417720148277,167.37159880011177,145.74427535633325
2021-11-04,147.9536590576172,133.61747265269,167.55903429626295,167.54639076243285,144.56099201054744
2021-11-05,148.48370361328125,133.61747265269,167.7338913910431,167.72118272475393,143.3709524240754
2021-11-08,147.6592254638672,133.61747265269,167.90874848582325,167.895974687075,143.10640356235817
2021-11-09,148.0223388671875,133.61747265269,168.08360558060343,168.0707666493961,142.19940620662203
2021-11-10,145.18577575683594,133.61747265269,168.2584626753836,168.24555861171717,140.29593557930025
2021-11-11,145.13673400878906,133.61747265269,168.43331977016376,168.42035057403825,141.11167957063063
2021-11-12,147.217529296875,133.61747265269,168.60817686494394,168.59514253635933,140.96559067794493
2021-11-15,147.22735595703125,133.61747265269,168.7830339597241,168.7699344986804,140.6630605284842
2021-11-16,148.20884704589844,133.61747265269,168.95789105450427,168.94472646100147,140.99899456157902
2021-11-17,150.65281677246094,133.61747265269,169.13274814928445,169.11951842332255,142.52967401990068
2021-11-18,154.95187377929688,133.61747265269,169.3076052440646,169.29431038564363,145.63596857213327
2021-11-19,157.58233642578125,133.61747265269,169.48246233884478,169.4691023479647,146.84053772839067
2021-11-22,158.04364013671875,133.61747265269,169.65731943362493,169.64389431028576,146.76942164120166
2021-11-23,158.42642211914062,133.61747265269,169.8321765284051,169.81868627260684,146.43941319066576
2021-11-24,158.9466552734375,133.61747265269,170.0070336231853,169.99347823492792,148.18032372754217
2021-11-25,158.9466552734375,133.61747265269,170.18189071796544,170.168270197249,148.44537985051176
2021-11-26,153.9114532470703,133.61747265269,170.35674781274562,170.34306215957008,146.33108744970178
2021-11-29,157.27804565429688,133.61747265269,170.53160490752578,170.51785412189116,147.80938637749858
2021-11-30,162.24453735351562,133.61747265269,170.70646200230595,170.69264608421224,146.48771234418197
2021-12-01,161.72430419921875,133.61747265269,170.88131909708613,170.86743804653332,147.49250439289585
2021-12-02,160.73297119140625,133.61747265269,171.05617619186629,171.0422300088544,150.6658808339003
2021-12-03,158.84849548339844,133.61747265269,171.23103328664646,171.21702197117546,151.16853578939305
2021-12-06,162.26416015625,133.61747265269,171.40589038142662,171.39181393349654,151.60322788106112
2021-12-07,168.015869140625,133.61747265269,171.5807474762068,171.56660589581762,150.07948337995117
2021-12-08,171.84376525878906,133.61747265269,171.75560457098697,171.7413978581387,151.6457177267005
2021-12-09,171.33335876464844,133.61747265269,171.93046166576713,171.91618982045978,153.11847974123089
2021-12-10,176.1329803466797,133.61747265269,172.1053187605473,172.09098178278083,153.16783062398923
2021-12-13,172.49156188964844,133.61747265269,172.28017585532746,172.2657737451019,153.0268395782414
2021-12-14,171.10760498046875,133.61747265269,172.45503295010764,172.440565707423,153.9014736911674
2021-12-15,175.98574829101562,133.61747265269,172.62989004488782,172.61535766974407,156.59085892473453
2021-12-16,169.07586669921875,133.61747265269,172.80474713966797,172.79014963206515,155.60938672137138
2021-12-17,167.97657775878906,133.61747265269,172.97960423444815,172.96494159438623,155.56597001316246
2021-12-20,166.61227416992188,133.61747265269,173.1544613292283,173.1397335567073,154.6087536441297
2021-12-21,169.79238891601562,133.61747265269,173.32931842400848,173.3145255190284,153.481022110372
2021-12-22,172.3933868408203,133.61747265269,173.50417551878866,173.48931748134945,153.187696582991
2021-12-23,173.02157592773438,133.61747265269,173.6790326135688,173.66410944367053,154.68542975674706
2021-12-24,173.02157592773438,133.61747265269,173.853889708349,173.8389014059916,151.87066298703118
2021-12-27,176.9967041015625,133.61747265269,174.02874680312914,174.0136933683127,154.18192065461886
2021-12-28,175.97593688964844,133.61747265269,174.20360389790932,174.18848533063377,155.08595510148695
2021-12-29,176.06423950195312,133.61747265269,174.3784609926895,174.36327729295482,153.17374993806575
2021-12-30,174.9060821533203,133.61747265269,174.55331808746965,174.5380692552759,152.92029802149108
2021-12-31,174.2877197265625,133.61747265269,174.72817518224983,174.71286121759698,153.08958195916665
2022-01-03,178.64564514160156,133.61747265269,174.90303227702998,174.88765317991806,152.11956692467288
2022-01-04,176.3783721923828,133.61747265269,175.07788937181016,175.06244514223914,152.31311128826943
2022-01-05,171.6866912841797,133.61747265269,175.25274646659034,175.23723710456022,152.5318331587308
2022-01-06,168.82069396972656,133.61747265269,175.4276035613705,175.4120290668813,151.1268299108261
2022-01-07,168.987548828125,133.61747265269,175.60246065615067,175.58682102920238,153.6040636676188
2022-01-10,169.00717163085938,133.61747265269,175.77731775093082,175.76161299152344,157.1158608272457
2022-01-11,171.84376525878906,133.61747265269,175.952174845711,175.93640495384452,158.79026856941923
2022-01-12,172.2854461669922,133.61747265269,176.12703194049118,176.1111969161656,161.62568381334523
2022-01-13,169.00717163085938,133.61747265269,176.30188903527133,176.28598887848668,162.08176804061765
2022-01-14,169.87091064453125,133.61747265269,176.4767461300515,176.46078084080776,161.91986482914677
2022-01-17,169.87091064453125,133.61747265269,176.65160322483166,176.6355728031288,158.6547614659258
2022-01-18,166.6613311767578,133.61747265269,176.82646031961184,176.8103647654499,156.15089696821894
2022-01-19,163.15733337402344,133.61747265269,177.00131741439202,176.98515672777097,157.6241989776031
2022-01-20,161.46913146972656,133.61747265269,177.17617450917217,177.15994869009205,158.19270792295544
2022-01-21,159.40794372558594,133.61747265269,177.35103160395235,177.33474065241313,157.7376801107629
2022-01-24,158.6325225830078,133.61747265269,177.5258886987325,177.5095326147342,159.14137612113646
2022-01-25,156.82655334472656,133.61747265269,177.70074579351268,177.6843245770553,160.1291299612518
2022-01-26,156.7382049560547,133.61747265269,177.87560288829286,177.85911653937637,159.60629764500555
2022-01-27,156.2769317626953,133.61747265269,178.050459983073,178.03390850169743,157.65021706913865
2022-01-28,167.1815643310547,133.61747265269,178.2253170778532,178.2087004640185,153.4886790251905
2022-01-31,171.54930114746094,133.61747265269,178.40017417263334,178.3834924263396,151.807276424631
2022-02-01,171.38243103027344,133.61747265269,178.57503126741352,178.55828438866067,151.4609946244557
2022-02-02,172.58970642089844,133.61747265269,178.7498883621937,178.73307635098175,147.26193854701012
2022-02-03,169.70404052734375,133.61747265269,178.92474545697385,178.9078683133028,149.98218419511733
2022-02-04,169.4190216064453,133.61747265269,179.09960255175403,179.08266027562388,153.83911961720966
2022-02-07,168.70162963867188,133.61747265269,179.27445964653418,179.25745223794496,152.79918973404514
2022-02-08,171.8170166015625,133.61747265269,179.44931674131436,179.43224420026604,154.953781250539
2022-02-09,173.24200439453125,133.61747265269,179.62417383609454,179.60703616258712,153.43228906747711
2022-02-10,169.15367126464844,133.61747265269,179.7990309308747,179.7818281249082,150.32638120047014
2022-02-11,165.73365783691406,133.61747265269,179.97388802565484,179.95662008722928,147.29220004733386
2022-02-14,165.9695281982422,133.61747265269,180.14874512043502,180.13141204955036,149.8683654612847
2022-02-15,169.81214904785156,133.61747265269,180.3236022152152,180.30620401187142,145.5423171668036
2022-02-16,169.57627868652344,133.61747265269,180.49845930999538,180.4809959741925,141.70924823098025
2022-02-17,165.9695281982422,133.61747265269,180.67331640477553,180.65578793651358,145.0729145183311
2022-02-18,164.41676330566406,133.61747265269,180.84817349955568,180.83057989883466,139.5167589063391
