ticker,model,status,error,MAE,MSE,RMSE,MAPE,R2
BTC-USD,ANN,success,,5220.117775759577,37342907.973646924,6110.88438555721,6.134760988938246,0.92811274743564
GOOG,LSTM,success,,3.556374255334728,22.92056964508784,4.787543174227031,2.4191771469258354,0.990909654810805
GOOG,BiLSTM,success,,5.182086766535619,46.9791357701803,6.854132751134917,3.5839378073034625,0.9813679778708065
GOOG,LSTM-GRU,success,,3.8130170335362434,26.187878198708106,5.1174093249131545,2.5965801678930336,0.989613833500431
GOOG,RNN,success,,3.899080255654268,31.1359260484869,5.579957531064811,2.5220924088947614,0.9876514275190952
GOOG,ANN,success,,15.023478465378581,345.8416035603041,18.596817027661054,9.351004596474729,0.8628385068160095
META,LSTM,success,,12.866720487078352,318.4780466105499,17.84595322784832,2.430564887429708,0.9840375929828784
META,BiLSTM,success,,10.361903161245188,222.39132141224383,14.912790530690218,1.9421102313267375,0.9888535463362762
META,LSTM-GRU,success,,10.095333699082632,212.1252259860189,14.564519421732353,1.8981078605101205,0.989368092300791
META,RNN,success,,18.757731531968574,599.7347159732717,24.4894817416227,3.1874321729657815,0.9699407549733883
META,ANN,success,,47.24507400784732,3005.7505043167093,54.82472530087779,8.546163848709352,0.8493490730289082
MSFT,LSTM,success,,5.050670724217893,47.346764360308065,6.880898514024754,1.9249787422323517,0.9968849867451149
MSFT,BiLSTM,success,,9.353612510826887,157.34096005556995,12.543562494585418,3.432693862717099,0.9896483068540936
MSFT,LSTM-GRU,success,,5.272820708551047,50.476762577962766,7.104700034340842,2.051190341856756,0.9966790595594351
MSFT,RNN,success,,6.945433491089941,106.60371825229392,10.324907663136456,2.2302824942438964,0.9929863846059497
MSFT,ANN,success,,10.681025314527993,177.6559432485816,13.3287637554494,4.35737666750146,0.988311754234839
NVDA,LSTM,success,,2.4198581507341195,15.2951137852828,3.9108968006434024,3.939076280680858,0.9954149849264269
NVDA,BiLSTM,success,,2.39138112812887,14.976154399198585,3.869903667948155,4.030750423753608,0.9955105993568643
NVDA,LSTM-GRU,success,,2.263840777612789,13.72655500629516,3.704936572506358,3.777299681548173,0.9958851916699926
NVDA,RNN,success,,2.6429798367788555,18.7315238581139,4.327993051994643,4.02128020590646,0.9943848525453217
NVDA,ANN,success,,3.405337442607035,26.264494435411475,5.124889699828814,5.870336292235456,0.9921266945394018
SAP,LSTM,success,,2.709013907463996,14.988064174351804,3.871442131086529,1.7531865658675445,0.9962363416033304
SAP,BiLSTM,success,,3.2077038890712863,19.992852825016957,4.471336805141943,2.0808792079686547,0.9949795872547024
SAP,LSTM-GRU,success,,2.88434998019711,17.57448988680059,4.1921939228523994,1.8342943786805428,0.9955868632759906
SAP,RNN,success,,2.5922640653756956,12.74357230741673,3.5698140438147097,1.7152357379519274,0.9967999567949242
SAP,ANN,success,,5.670452694316487,56.32841928691425,7.505226131630828,3.5070595404091547,0.9858553495798941
TSLA,LSTM,success,,9.519263814004619,164.38408062194333,12.821235534141916,3.5348013831638903,0.9787321123990173
TSLA,BiLSTM,success,,9.403059820110878,155.62019690857733,12.474782439328445,3.5223383027159203,0.9798659770230049
TSLA,LSTM-GRU,success,,9.258634117212189,155.57508118733637,12.472974031374248,3.4481398756829553,0.979871814060781
TSLA,RNN,success,,10.353560758440684,200.40798602935152,14.156552759388548,3.694478397576066,0.9740713668556868
TSLA,ANN,success,,18.77947125809916,629.7719214829996,25.095256951922202,6.26899270783867,0.9185205867278645
TSM,LSTM,success,,4.178686505944065,37.174665453633246,6.097103037806828,3.0239513091571095,0.9896560185542076
TSM,BiLSTM,success,,5.218830531870824,49.58501346256279,7.041662691620694,4.050184212418967,0.9862027955601687
TSM,LSTM-GRU,success,,3.6662462138565326,24.842956084141466,4.984270867854341,2.849060813651892,0.9930873600701663
TSM,RNN,success,,3.978933162237765,40.69689040922561,6.3794114469303205,2.6525295705666347,0.9886759470688571
TSM,ANN,success,,8.904546548628948,145.0998478247116,12.0457398205636,6.443714125880852,0.9596254568704015
