ticker,model,status,error,MAE,MSE,RMSE,MAPE,R2,RMSE_H1,MAPE_H1,MAE_H1,RMSE_H3,MAPE_H3,MAE_H3,RMSE_H7,MAPE_H7,MAE_H7,RMSE_H14,MAPE_H14,MAE_H14,RMSE_H30,MAPE_H30,MAE_H30,RMSE_H60,MAPE_H60,MAE_H60
META,LSTM,success,,8.18952810118959,155.51041101649747,12.470381350082983,1.5389760414115683,0.992187810920663,12.470381350082983,1.5389760414115683,8.18952810118959,20.95797566233336,2.778597601102453,14.89583774043541,31.694943903287285,4.404087825967891,23.741388080102954,46.44349142364621,6.312537299606767,34.634059633672145,64.23081044627705,8.65984956997386,48.26271403695191,86.04038277401766,11.789844570536344,67.12751202227835
META,LSTM-GRU,success,,8.373424432816265,158.39392165154706,12.58546469748126,1.572208878798127,0.9920429554724262,12.58546469748126,1.572208878798127,8.373424432816265,20.683404142628834,2.7716437558830034,14.861234755850923,31.577682478728068,4.391059878255634,23.691843518530085,45.454028202699696,6.315057328365232,34.48800487049392,63.1405347374624,8.780270200032493,48.518838254800364,86.11020723835786,12.017319903690142,68.32077698794625
META,RNN,success,,8.201804221831987,155.2070179078371,12.458210863034752,1.5459962137413579,0.9922030521145787,12.458210863034752,1.5459962137413579,8.201804221831987,20.907894106429087,2.7935280070977857,14.984682536215653,31.96340702770996,4.354574992259594,23.515981672013776,47.170631275693374,6.36441242154735,35.08066200595829,65.76308202584502,8.888669880411886,49.64425167078978,89.61388245215207,12.234968915031242,70.43777623620744
MSFT,ANN,success,,4.027877527801422,31.58255598364711,5.619835939210958,1.0028931426682473,0.9910085795329528,5.619835939210958,1.0028931426682473,4.027877527801422,9.455940198208497,1.7373204911159739,7.019789890419679,14.153335801197027,2.7240768421324173,11.040503050900362,20.050734366496755,3.7958430512319072,15.465100790451086,29.542085034822414,5.5922517297183765,23.258518755078626,42.84984108805942,7.94348640260886,33.65942457532299
MSFT,BiLSTM,success,,4.6442116714368735,38.91299010549701,6.238027741642146,1.1547289911960021,0.98892163585969,6.238027741642146,1.1547289911960021,4.6442116714368735,9.610538510198447,1.8186850299898545,7.350523238423573,14.454381542948378,2.850406373597308,11.60261304503505,20.001368547941844,3.8925619800702727,15.934370815914543,29.05402735299366,5.5856027091045615,23.156165895164857,42.512973662933845,7.992400846038926,33.85850354640699
MSFT,LSTM,success,,4.032742901063797,31.311615479031865,5.595678285876688,1.0062236191327663,0.9910857151517359,5.595678285876688,1.0062236191327663,4.032742901063797,9.530753530380922,1.8032010577346456,7.2735974966748485,14.20876364956661,2.7563439256174314,11.157489686096277,19.73790580857755,3.7783915575004983,15.401412556678123,29.50696115046354,5.636669836932145,23.44263428924053,43.4444236176532,8.19905523970294,34.758413670150226
MSFT,LSTM-GRU,success,,4.45453117552414,36.507626071451114,6.042154091998243,1.1099253781103289,0.9896064328538794,6.042154091998243,1.1099253781103289,4.45453117552414,9.521703105820716,1.7583550672603296,7.0761096609962495,14.277116150441856,2.800984753229361,11.37795175983896,20.135165216938184,3.8807141973376362,15.820476039201939,29.45242925945892,5.623459034307973,23.409801618832674,42.769012124483645,7.9970632112494515,33.97102161125228
MSFT,RNN,success,,4.116465057820965,31.981886408610258,5.655252992449609,1.024929397017607,0.9908948918454209,5.655252992449609,1.024929397017607,4.116465057820965,9.654380995765655,1.8535580228547617,7.505206217409574,14.14479787601827,2.7521702909112307,11.189860736963736,20.034695225703658,3.8206605921764156,15.611038429653284,29.59286903163066,5.59309535198923,23.285581917966798,42.88234707240554,7.921432154218092,33.61812448066594
NVDA,ANN,success,,2.331139976001173,11.671574703693642,3.4163686428272992,2.25708943852145,0.9946738301615492,3.4163686428272992,2.25708943852145,2.331139976001173,5.834426151481662,4.02171734997079,4.131568305879157,8.36991723428582,6.202881649643771,6.262958287995886,11.225199447702924,8.636551840672,8.770954356151845,16.44312750565121,11.841185947286574,12.887591445143212,23.181534360819285,16.26425970172275,18.445955780203082
NVDA,BiLSTM,success,,2.36225874494703,11.649776849314904,3.4131769437453583,2.287421285653007,0.9946837773261334,3.4131769437453583,2.287421285653007,2.36225874494703,5.766693502919657,3.98384464909404,4.094670039815508,8.261036383308776,6.169518263048309,6.228051579533918,11.150672850607748,8.627274971767239,8.7812000044736,16.58595705853647,12.024605882966037,13.16658289507085,23.337144106135124,16.43006596745746,18.665456309706613
